Source,Contribution,Measure
Carbon Dioxide,1.82,relative
Methane,0.48,relative
Nitrogen Dioxide,0.17,relative
Halocarbons,0.36,relative
Stratospheric Ozone,-0.05,relative
Tropospheric Ozone,0.4,relative
Stratospheric water vapour from CH4,0.07,relative
Albedo (land use),-0.15,relative
Black carbon on snow Albedo,0.04,relative
Direct Aerosol effect,-0.45,relative
Aerosol Cloud Albedo effect,-0.45,relative 
Contrails,0.05,relative
Solar irradiance,0.12,relative
Net total,Total,total
